,timekeeper,Elapsed time (s),Phone-Accel-Z,Phone-Accel-Y,Phone-Accel-X,Watch-Accel-Z,Watch-Accel-Y,Watch-Accel-X,Phone-Gyro-Z,Phone-Gyro-Y,Phone-Gyro-X,Watch-Gyro-Z,Watch-Gyro-Y,Watch-Gyro-X,Phone-Mag-Z,Phone-Mag-Y,Phone-Mag-X,Watch-Mag-Z,Watch-Mag-Y,Watch-Mag-X
10,8.0,20.21,-0.454284668,0.7891540527,-0.5921783447,-0.1130828857,0.2761077881,-0.9297637939,0.2316020727,0.1230689362,-0.00227593747,-0.01971884258,-0.05825771391,0.1838617176,-316.5125732,-50.87843323,-120.3884735,-7.589782715,72.57844543,137.6116791
11,9.0,20.22,-0.5820770264,0.7414398193,-0.6402740479,-0.1096954346,0.2726745605,-0.9333648682,0.1613095254,0.08618655056,0.078936629,-0.02423316799,-0.05618417636,0.1553264707,-316.3725586,-50.75099182,-120.4507599,-7.460098267,72.64131165,137.5776978
12,10.0,20.23,-0.4512481689,0.7122039795,-0.7090606689,-0.1081237793,0.2743835449,-0.9372253418,0.155670017,0.1423731297,0.04789987952,-0.02075055242,-0.0391780287,0.122060664,-317.3430176,-50.60198975,-120.182312,-7.452301025,72.71546936,137.5567932
13,11.0,20.24,-0.4465637207,0.6360473633,-0.645401001,-0.1091766357,0.2767333984,-0.9386901855,0.1435814053,0.1253254265,0.05050871521,-0.01582263969,-0.01681360044,0.08912295103,-317.0615234,-50.32746887,-119.6931763,-7.310958862,72.84542847,137.6726685
14,12.0,20.25,-0.4397888184,0.5316772461,-0.5773468018,-0.1143493652,0.2763366699,-0.93800354,0.1482387334,0.167526409,-0.01347399689,-0.01476456504,0.003254116513,0.06589113176,-316.9231567,-50.55116272,-119.556015,-7.582168579,72.67819214,137.6542053
15,13.0,20.26,-0.4188537598,0.4401550293,-0.5665435791,-0.1217193604,0.2738952637,-0.9315185547,0.1756762117,0.1463854462,-0.07268805057,-0.003697000211,0.01345029473,0.05382621288,-317.3020935,-50.67234802,-119.5419159,-7.528549194,72.71089172,137.5280151
16,14.0,20.27,-0.4470977783,0.4586334229,-0.531829834,-0.1287689209,0.2771911621,-0.9262695313,0.1587403715,0.06954738498,-0.1784333885,0.01168701611,0.01498773787,0.05406935886,-317.08078,-50.94972229,-118.934433,-7.376647949,72.69967651,137.5692291
17,15.0,20.28,-0.4178466797,0.5723724365,-0.5473937988,-0.1315612793,0.2766571045,-0.9284667969,0.1193303913,-0.02019288577,-0.3044602871,0.01632864028,0.001192297204,0.06196323782,-317.7238464,-51.13395691,-118.6100159,-7.206924438,72.76625061,137.6662598
18,16.0,20.29,-0.3692474365,0.7428894043,-0.6355133057,-0.1323852539,0.2739562988,-0.9316864014,0.1067605317,-0.1506965607,-0.3365114331,0.01352939103,-0.0111743575,0.07537437975,-317.9971619,-50.7973175,-118.4547272,-7.486755371,72.84165955,137.595108
19,17.0,20.3,-0.3867645264,0.7850494385,-0.6869049072,-0.1324768066,0.278503418,-0.93699646,0.170045495,-0.118526116,-0.3630011082,0.01536777057,-0.02750885673,0.08976504207,-318.5734863,-51.12469482,-118.3487091,-6.981689453,72.77684021,137.7043152
20,18.0,20.31,-0.4296264648,0.7230987549,-0.720413208,-0.1331939697,0.2808990479,-0.9373168945,0.1924314946,-0.1342805773,-0.3725876808,0.01718537882,-0.03182024881,0.09454967827,-318.4934387,-51.26998901,-118.4981689,-7.2109375,72.79139709,137.6583252
21,19.0,20.32,-0.4797363281,0.7034301758,-0.7356719971,-0.130569458,0.2807006836,-0.9368591309,0.1251456738,-0.1075006276,-0.3763427436,0.02352583222,-0.02929477207,0.09250836074,-318.6098022,-51.38209534,-117.9470978,-7.159408569,72.82312012,137.4247437
22,20.0,20.33,-0.4984741211,0.7487792969,-0.751159668,-0.1272888184,0.2794494629,-0.941619873,-0.01194054913,-0.08514338732,-0.3918532729,0.03321467713,-0.02733867988,0.08474525064,-318.4920044,-50.98825073,-117.5885162,-7.047439575,72.70251465,137.6917267
23,21.0,20.34,-0.4956665039,0.8434295654,-0.7362823486,-0.1229553223,0.2776031494,-0.9426422119,-0.1925332248,-0.02193938754,-0.3969286978,0.03122449853,-0.0241881609,0.06856414676,-318.4558716,-51.40287781,-117.8618927,-6.917007446,72.91900635,137.694458
24,22.0,20.35,-0.4321136475,0.8872833252,-0.7144317627,-0.1222381592,0.2735595703,-0.9450073242,-0.3363566995,0.08966969699,-0.3901640177,0.0323182568,-0.02739593759,0.05856983736,-318.3855286,-51.00941467,-117.6442108,-6.755523682,73.00862122,137.9374237
25,23.0,20.36,-0.4044036865,0.8342132568,-0.7463684082,-0.1268005371,0.2704620361,-0.945602417,-0.3726340234,0.08267118037,-0.4186225533,0.03253237531,-0.02385047078,0.05794852227,-318.7224121,-51.10760498,-117.4693451,-7.025497437,73.10894775,137.8980408
26,24.0,20.37,-0.3761444092,0.7651062012,-0.7559661865,-0.1309356689,0.2669219971,-0.9452514648,-0.3598439395,0.06656757742,-0.4102719426,0.03755563125,-0.01710335352,0.06093552336,-318.628479,-50.94468689,-117.9052582,-6.892272949,73.11183167,137.8586426
27,25.0,20.38,-0.3491363525,0.712677002,-0.7054595947,-0.1312255859,0.2651672363,-0.9489898682,-0.3853114843,0.1571443528,-0.3819305897,0.04157940298,-0.003972104751,0.06170357764,-318.9042053,-51.21795654,-117.7845001,-6.62663269,72.96655273,137.8167877
28,26.0,20.39,-0.3654022217,0.6382446289,-0.6946105957,-0.1285705566,0.261932373,-0.9499969482,-0.4104956388,0.2657211423,-0.412832588,0.04545003921,0.004872519523,0.06253021955,-318.7950439,-51.36889648,-117.8886261,-6.992782593,73.18244934,137.7725677
29,27.0,20.4,-0.4157562256,0.6203765869,-0.756729126,-0.1292419434,0.2601318359,-0.9498443604,-0.405975461,0.2675962746,-0.4539632201,0.0388834849,0.01108514145,0.06318882108,-318.9963379,-51.01145935,-117.868454,-6.767959595,73.057724,137.7873383
30,28.0,20.41,-0.4202270508,0.6849517822,-0.7709655762,-0.1264343262,0.2570953369,-0.9501037598,-0.4278235137,0.3280353844,-0.4883976281,0.02569657564,-0.001413073274,0.06972341985,-318.7919006,-51.33265686,-116.9364319,-6.761001587,73.08096313,137.7622833
31,29.0,20.42,-0.3878173828,0.7337646484,-0.7451324463,-0.1220855713,0.2562255859,-0.9453887939,-0.475512743,0.4331437051,-0.4729664922,0.01822853833,-0.01800483279,0.07209496945,-318.7658997,-51.07565308,-117.500351,-7.089065552,72.86941528,137.789032
32,30.0,20.43,-0.3428344727,0.7239074707,-0.7525177002,-0.1178894043,0.2563018799,-0.9414520264,-0.4941561818,0.41057688,-0.4838793278,0.01612730511,-0.03466876596,0.07445319742,-318.2775879,-50.97673035,-117.1632385,-6.828521729,72.95368958,138.0296173
33,31.0,20.44,-0.2797088623,0.6262969971,-0.7436676025,-0.1126556396,0.255569458,-0.9454650879,-0.4286083579,0.4230945408,-0.5031810999,0.01105664577,-0.04823543876,0.06931062788,-318.5594482,-51.22357178,-117.2476044,-6.661514282,73.06860352,137.817627
34,32.0,20.45,-0.3149719238,0.5443725586,-0.6921539307,-0.1064758301,0.256362915,-0.9494171143,-0.3646948636,0.5225644112,-0.5363105536,0.002673281124,-0.05439719558,0.05543849245,-318.7254639,-50.81690979,-117.1587067,-6.687637329,73.13162231,137.9071503
35,33.0,20.46,-0.371383667,0.5027923584,-0.6284484863,-0.1058349609,0.2568206787,-0.9495849609,-0.3627963066,0.585785687,-0.6033769846,0.005540973041,-0.04902932793,0.03451536596,-318.645813,-51.37672424,-116.7961578,-7.059417725,73.29933167,137.8561859
36,34.0,20.47,-0.3583831787,0.4942016602,-0.5532684326,-0.1031341553,0.2589111328,-0.9481506348,-0.4221986532,0.5798149109,-0.6242207289,0.01229714602,-0.03156218678,0.004261856433,-319.2052307,-50.86865234,-116.8625793,-6.161651611,73.36912537,137.6807098
37,35.0,20.48,-0.3320617676,0.5198974609,-0.5181732178,-0.1017608643,0.2603912354,-0.9510192871,-0.437095046,0.5847263336,-0.6604748368,0.01921310835,-0.003717240179,-0.03261999413,-318.8545227,-50.9887085,-117.1163635,-7.087692261,73.14213562,137.8682098
38,36.0,20.49,-0.3522491455,0.5952758789,-0.4998626709,-0.1064605713,0.2578582764,-0.9519805908,-0.3579379022,0.5407037139,-0.7033091187,0.02780926041,0.02775333449,-0.05860658735,-318.9456787,-50.87574768,-116.844986,-6.773040771,73.24897766,137.8514557
39,37.0,20.5,-0.388168335,0.6873626709,-0.4630126953,-0.1131286621,0.2545166016,-0.9544525146,-0.2567670643,0.5086805224,-0.6935731769,0.02242141962,0.04353522509,-0.07942931354,-318.2184143,-50.86280823,-116.7538605,-6.627319336,73.17807007,137.8651581
40,38.0,20.51,-0.4199371338,0.7001953125,-0.5158996582,-0.12109375,0.2518920898,-0.953414917,-0.1056193709,0.484013021,-0.6299307942,0.02095534839,0.05102563277,-0.08415908366,-318.4549561,-50.3924408,-116.6743469,-6.568954468,73.1464386,137.9384766
41,39.0,20.52,-0.432144165,0.5971832275,-0.6249847412,-0.1253356934,0.2518310547,-0.9490356445,0.03521018475,0.3891110122,-0.6576306224,0.02160196379,0.04365346953,-0.07522444427,-318.4987183,-50.45884705,-116.7193756,-6.445480347,73.15316772,137.7709351
42,40.0,20.53,-0.4015350342,0.5382232666,-0.6341400146,-0.1282806396,0.2539367676,-0.9444122314,-0.03087482601,0.2199970782,-0.6507825851,0.02544197626,0.02362836339,-0.05626726523,-318.5635376,-50.16096497,-117.0414581,-6.780548096,73.10964966,137.8360138
43,41.0,20.54,-0.4331817627,0.5787506104,-0.5812683105,-0.1314086914,0.2561798096,-0.9425811768,-0.2647261918,0.2104357928,-0.6089254022,0.03018133901,0.00528717367,-0.02557060681,-318.1773682,-50.24765015,-117.0289154,-6.53729248,72.90467834,137.9402008
44,42.0,20.55,-0.4928741455,0.5716094971,-0.5831756592,-0.1316680908,0.2548828125,-0.9404754639,-0.4083321095,0.2826266289,-0.5861010551,0.03578116745,-0.01410010643,-0.01071576122,-318.1583862,-50.05123901,-117.0855865,-6.743865967,73.00871277,137.8588715
45,43.0,20.56,-0.4782714844,0.573348999,-0.6356048584,-0.1251525879,0.2546081543,-0.9393157959,-0.4130895734,0.3773241043,-0.5606758595,0.03847841546,-0.0322146602,-0.0030091058,-318.1546021,-50.03656006,-117.0571747,-6.375213623,73.16122437,137.9708862
46,44.0,20.57,-0.4557189941,0.6366882324,-0.6826324463,-0.1177215576,0.2533416748,-0.9412841797,-0.3834741414,0.4044164419,-0.5323733687,0.04101800546,-0.04791479558,-0.009138104506,-318.0308533,-49.5058136,-116.9143829,-6.632583618,73.0239563,137.8752289
47,45.0,20.58,-0.4775238037,0.696395874,-0.7273101807,-0.1163787842,0.2512207031,-0.9473571777,-0.3695439696,0.4762986302,-0.5312079787,0.04761518911,-0.05085891858,-0.01247717626,-318.0714722,-49.77532959,-117.1683197,-6.65486145,72.99617004,137.8375244
48,46.0,20.59,-0.4286346436,0.71534729,-0.7743530273,-0.1149597168,0.2477416992,-0.9464874268,-0.4161061347,0.6841748953,-0.5638684034,0.06044683233,-0.03965286911,-0.02696770243,-317.9909668,-49.70593262,-117.3950195,-6.534072876,73.02323914,137.8440094
49,47.0,20.6,-0.3921203613,0.7053985596,-0.8519134521,-0.115737915,0.24269104,-0.9447479248,-0.5184415579,0.7162507772,-0.6477872729,0.06715799868,-0.03893727809,-0.04620557651,-317.7705994,-49.89500427,-117.1200409,-6.634399414,72.91842651,137.6783295
50,48.0,20.61,-0.3106994629,0.6863555908,-0.8683166504,-0.1157684326,0.239654541,-0.9482727051,-0.6297574043,0.6833338141,-0.7198428512,0.06508392841,-0.03818706796,-0.0701732263,-318.2095337,-49.57606506,-117.2351074,-6.707626343,72.94662476,137.9575348
51,49.0,20.62,-0.272857666,0.6658782959,-0.7802276611,-0.1205291748,0.2342376709,-0.9524383545,-0.6826427579,0.7878397703,-0.7581361532,0.06463172287,-0.03601259738,-0.08042586595,-318.0623169,-50.02851868,-117.2480621,-6.83366394,73.04173279,137.8828583
52,50.0,20.63,-0.3385467529,0.6754760742,-0.6879882813,-0.1289520264,0.2300262451,-0.9523925781,-0.6893102527,0.842151463,-0.7948585153,0.05739458278,-0.03656386957,-0.08421368152,-317.2032471,-49.52441406,-116.9321136,-6.7918396,72.98905945,137.7798615
53,51.0,20.64,-0.4188995361,0.7250366211,-0.6096038818,-0.1359558105,0.2297973633,-0.9517822266,-0.7053446174,0.9186118841,-0.7624835372,0.05821110681,-0.03448500484,-0.08016914129,-317.4353638,-49.20463562,-117.146286,-7.009384155,72.83650208,137.6941681
54,52.0,20.65,-0.4333648682,0.7590484619,-0.6134338379,-0.1405029297,0.2312316895,-0.9491271973,-0.7290062308,0.9678058028,-0.7265566587,0.0661265552,-0.0336314626,-0.07469447702,-317.4178467,-49.29670715,-117.220993,-7.008895874,72.81938171,137.6951294
55,53.0,20.66,-0.4354553223,0.7418823242,-0.6856689453,-0.1438446045,0.230255127,-0.9472961426,-0.7580288649,0.9512092471,-0.7166995406,0.070149526,-0.04563140124,-0.06076854095,-318.0549316,-49.0291748,-116.696228,-7.130142212,72.6421051,137.5500031
56,54.0,20.67,-0.3915710449,0.6988830566,-0.7268981934,-0.1441802979,0.2271881104,-0.9475860596,-0.8471115828,0.9554290175,-0.7590067387,0.06886401772,-0.06139704958,-0.04767324775,-317.0893555,-49.0491333,-116.6681061,-6.994476318,72.74311829,137.6615143
57,55.0,20.68,-0.3218383789,0.6258850098,-0.7254333496,-0.144317627,0.2269592285,-0.9502105713,-0.9368835688,0.7421383262,-0.8276215196,0.07571686804,-0.07569156587,-0.03748319298,-317.10849,-49.11746216,-116.8203125,-7.209243774,72.66790771,137.4982452
58,56.0,20.69,-0.2838439941,0.5394134521,-0.6241149902,-0.1423034668,0.2264709473,-0.9541625977,-0.9279473424,0.5481078625,-0.8894076347,0.07989776134,-0.08592049778,-0.02740499191,-316.695282,-48.75587463,-116.814209,-6.862121582,72.63212585,137.5054626
59,57.0,20.7,-0.2830657959,0.4937438965,-0.4643249512,-0.1422424316,0.2247161865,-0.9611663818,-0.8537282348,0.583860755,-0.9511559606,0.07737175375,-0.09095600247,-0.02245124616,-316.5627747,-48.59143066,-116.7497406,-7.138046265,72.73860168,137.4980316
60,58.0,20.71,-0.2706756592,0.4972839355,-0.3846893311,-0.142791748,0.2194061279,-0.9664154053,-0.7643541098,0.6009889245,-1.0512954,0.06850928813,-0.0920849219,-0.02857438661,-316.9733276,-48.43205261,-117.1186523,-7.011810303,72.49053955,137.4749603
61,59.0,20.72,-0.3034515381,0.5516204834,-0.4151611328,-0.1434020996,0.2179870605,-0.9754486084,-0.666610539,0.4198396206,-1.092813015,0.05580254644,-0.08494312316,-0.03325249627,-316.6627808,-48.62123108,-116.3272095,-7.059783936,72.40559387,137.4753876
62,60.0,20.73,-0.3372497559,0.652633667,-0.4895629883,-0.1463928223,0.217300415,-0.979019165,-0.6104298234,0.259616673,-1.144964576,0.04673181847,-0.07135620713,-0.03752127662,-316.7756348,-48.26293945,-116.3578033,-6.878082275,72.55886841,137.5618896
63,61.0,20.74,-0.3895263672,0.7110748291,-0.6187438965,-0.1477355957,0.2165679932,-0.9793395996,-0.6034211516,0.1548436433,-1.161808848,0.0435615927,-0.05790963769,-0.04180816561,-316.19104,-48.07418823,-116.2334595,-7.044036865,72.5869751,137.5167694
64,62.0,20.75,-0.3761138916,0.7155303955,-0.7712249756,-0.1490020752,0.2203369141,-0.9837493896,-0.6153255105,-0.02197374217,-1.170370817,0.03875911236,-0.04919524118,-0.05114760622,-316.3297119,-47.72810364,-116.7610168,-7.114456177,72.55236816,137.3953552
65,63.0,20.76,-0.3607330322,0.6808624268,-0.8366088867,-0.1511993408,0.2187652588,-0.9876556396,-0.6574452519,-0.08206557482,-1.106823087,0.02587101236,-0.03448154405,-0.05096091703,-315.6828613,-47.69876099,-116.2098694,-7.395080566,72.48616028,137.6218262
66,64.0,20.77,-0.3152160645,0.5972900391,-0.8150177002,-0.1581420898,0.2161254883,-0.9874725342,-0.6968118548,0.07717841119,-1.110540867,0.008591623977,-0.03026789054,-0.04814302921,-316.1618652,-47.6192627,-116.2925262,-7.298202515,72.57614136,137.6191711
67,65.0,20.78,-0.3110198975,0.5105438232,-0.8188323975,-0.160736084,0.2189025879,-0.9895629883,-0.7200636268,0.2018026263,-1.164454937,-0.003053580411,-0.02767636813,-0.03622804582,-315.5770874,-47.43447876,-116.7479706,-7.144180298,72.42489624,137.6624451
68,66.0,20.8,-0.237701416,0.4873199463,-0.8590240479,-0.1601409912,0.2255554199,-0.9912109375,-0.7160358429,0.3011446595,-1.238301396,-0.009153018706,-0.01286652964,-0.02528431825,-315.6323242,-47.32521057,-116.591507,-6.831970215,72.4486084,137.5626678
69,67.0,20.81,-0.228805542,0.5184173584,-0.8773040771,-0.1577301025,0.2277679443,-0.9893035889,-0.7034282088,0.3620639443,-1.30607307,-0.02212048136,0.005787315313,-0.02505129017,-315.7669373,-47.49513245,-116.254776,-6.794113159,72.55584717,137.6559143
70,68.0,20.82,-0.3079376221,0.6164703369,-0.8551635742,-0.1555786133,0.2320251465,-0.9880065918,-0.7369645834,0.4603140652,-1.4221946,-0.04047925025,0.01525511965,-0.02889236808,-315.7077026,-47.27537537,-116.5032196,-7.220901489,72.57312012,137.67659
71,69.0,20.83,-0.2755737305,0.6611938477,-0.8041381836,-0.1566925049,0.2342834473,-0.9847106934,-0.7497855425,0.5433615446,-1.514388442,-0.0543109104,0.02855015174,-0.02750273049,-315.2979126,-47.22442627,-116.0882568,-7.170013428,72.5614624,137.5318604
72,70.0,20.84,-0.2772216797,0.5876617432,-0.7421569824,-0.15965271,0.2359008789,-0.9770812988,-0.6821777821,0.5682170987,-1.51294446,-0.05521531776,0.04805727303,-0.01684049889,-315.2467041,-47.05491638,-115.9460449,-6.930999756,72.42095947,137.5920715
73,71.0,20.85,-0.2827758789,0.4609069824,-0.6876220703,-0.1613464355,0.2379150391,-0.968536377,-0.5698299408,0.5474284887,-1.591749787,-0.05732107908,0.0562829785,-0.001265267842,-314.8962402,-46.80123901,-116.0564117,-6.851119995,72.57098389,137.6759338
74,72.0,20.86,-0.2013092041,0.3340759277,-0.6708831787,-0.1551208496,0.2410125732,-0.9653320313,-0.4798702002,0.472994715,-1.741429329,-0.06447006762,0.05590507761,0.01491450053,-314.7428894,-46.87614441,-116.055954,-6.998855591,72.41905212,137.4018097
75,73.0,20.87,-0.09869384766,0.2904663086,-0.6768188477,-0.1460113525,0.2456359863,-0.9653167725,-0.4763910472,0.3553242683,-1.834038377,-0.0678107366,0.04721624777,0.02966788039,-314.3563232,-46.70480347,-116.113205,-6.85307312,72.49217224,137.5936584
76,74.0,20.88,-0.06712341309,0.3317260742,-0.6855773926,-0.1405029297,0.248336792,-0.9624786377,-0.5431583524,0.2685033679,-1.855240583,-0.07169229537,0.03830930591,0.03191931546,-315.1557617,-46.21180725,-116.2447205,-6.738433838,72.49450684,137.6592102
77,75.0,20.89,-0.1379699707,0.4479522705,-0.7158050537,-0.1332397461,0.2512054443,-0.963104248,-0.6424849629,0.2411132753,-1.913037539,-0.07910547405,0.04161189124,0.02989345044,-314.7393188,-46.44386292,-116.1336975,-6.776306152,72.58578491,137.6652679
78,76.0,20.9,-0.2925720215,0.6184234619,-0.7193145752,-0.1287689209,0.2536010742,-0.9580383301,-0.7595191598,0.2561068833,-1.963308454,-0.07493549585,0.05261420831,0.02325711958,-314.4127808,-46.33634949,-115.5343475,-6.671585083,72.53051758,137.7946625
79,77.0,20.91,-0.3286132813,0.7330169678,-0.6496124268,-0.1243896484,0.2535552979,-0.953918457,-0.8798897862,0.3273672163,-1.962210178,-0.07480739802,0.06176589429,0.00470314268,-313.7384033,-46.35855103,-116.3693848,-6.11416626,72.64450073,137.4523163
80,78.0,20.92,-0.2447967529,0.7200622559,-0.588470459,-0.1174163818,0.2559051514,-0.9579925537,-0.9317737222,0.3420473635,-1.947270036,-0.07910547405,0.07554934919,-0.01642983966,-314.2537842,-46.29440308,-115.9651489,-6.475341797,72.8767395,137.8524323
81,79.0,20.93,-0.2190246582,0.6575317383,-0.606842041,-0.1189117432,0.2570648193,-0.9571685791,-0.8825383186,0.1657002866,-1.904782534,-0.0810828656,0.08726486564,-0.03568715602,-313.819397,-46.2268219,-116.4384766,-6.375030518,72.82939148,137.7455902
82,80.0,20.94,-0.2303466797,0.6295928955,-0.6418609619,-0.1252441406,0.2578582764,-0.9483032227,-0.8305723071,-0.09452357888,-1.791597962,-0.07167737931,0.103228651,-0.03876284137,-313.6156616,-45.84315491,-116.2044525,-6.303161621,72.52900696,137.7949677
83,81.0,20.95,-0.2050476074,0.6594848633,-0.6529998779,-0.1330718994,0.2620544434,-0.9451141357,-0.8748934269,-0.2737870812,-1.662591457,-0.0646628812,0.1112652719,-0.02738688327,-313.6784058,-45.55349731,-116.706665,-6.451278687,72.58627319,137.9246368
84,82.0,20.96,-0.2190704346,0.7151947021,-0.7143096924,-0.1324005127,0.2629547119,-0.9496765137,-0.9389117956,-0.3476264179,-1.557002187,-0.0695913285,0.1109821796,-0.0103098955,-313.314209,-45.75404358,-116.8293152,-6.262115479,72.64321899,137.8216705
85,83.0,20.97,-0.2786407471,0.7715301514,-0.810043335,-0.1309661865,0.2642974854,-0.9487457275,-0.9437683821,-0.3740366995,-1.485562682,-0.08005116135,0.09650284052,0.01286067069,-312.7160645,-45.05769348,-117.072525,-6.302612305,72.64045715,137.5865936
86,84.0,20.98,-0.3263702393,0.8495025635,-0.836730957,-0.126373291,0.266418457,-0.9403991699,-0.8919997215,-0.3296197057,-1.433882952,-0.07999975979,0.07889454812,0.03443919867,-312.1864014,-45.04052734,-117.1335754,-6.258712769,72.76679993,137.7949066
87,85.0,20.99,-0.339050293,0.9128570557,-0.7917938232,-0.1199493408,0.2667541504,-0.9304962158,-0.8266260028,-0.2546445429,-1.363980055,-0.0708611235,0.06519950926,0.04316105321,-311.57901,-44.926651,-117.8402863,-5.890609741,72.80770874,137.868515
88,86.0,21.0,-0.3497772217,0.92527771,-0.7417907715,-0.1114807129,0.2668457031,-0.9253692627,-0.7778398395,-0.2992732525,-1.282985806,-0.06498006731,0.05877303705,0.03947870061,-311.3688049,-45.12863159,-117.7580109,-5.881500244,72.75100708,137.9173279
89,87.0,21.01,-0.3373565674,0.9104156494,-0.7328643799,-0.1053771973,0.2664794922,-0.9331359863,-0.7841858864,-0.4695070386,-1.159507036,-0.05942257866,0.06920703501,0.02366378345,-310.7770996,-44.62838745,-117.6191864,-6.078933716,72.70085144,137.9363556
90,88.0,21.02,-0.2950439453,0.8932647705,-0.7952880859,-0.09478759766,0.2642364502,-0.9318084717,-0.8400073647,-0.6331915855,-1.020582199,-0.05275509134,0.05531678349,0.0006953513366,-310.4099731,-44.66610718,-117.9806213,-5.977294922,72.86224365,138.0307007
91,89.0,21.03,-0.2592315674,0.884765625,-0.9032745361,-0.09338378906,0.2613983154,-0.9211425781,-0.9327924252,-0.7058796287,-0.8639813662,-0.03837215528,0.04117353633,-0.0190895386,-310.5480347,-44.23480225,-117.9889069,-5.985610962,72.75158691,138.1340637
92,90.0,21.04,-0.2631530762,0.8782043457,-1.002029419,-0.09727478027,0.2610626221,-0.9244384766,-1.053127646,-0.7001812458,-0.6950471997,-0.02995922975,0.0298638884,-0.03201572224,-310.4896851,-44.3285675,-118.2579651,-5.913162231,72.58529663,138.0123749
93,91.0,21.05,-0.2837219238,0.8479309082,-1.050765991,-0.09600830078,0.2668151855,-0.931854248,-1.151153445,-0.6193745732,-0.5512338877,-0.01158741396,0.02505288832,-0.0431176424,-309.3063965,-43.9934845,-118.2266083,-5.874923706,72.6211853,138.0034332
94,92.0,21.06,-0.317276001,0.7969360352,-1.040618896,-0.09802246094,0.2704620361,-0.9373474121,-1.207839966,-0.5329656601,-0.4559028149,0.001789644244,0.01763012633,-0.05619323254,-309.1096802,-43.64842224,-118.4182739,-5.532150269,72.79841614,137.9074402
95,93.0,21.07,-0.321685791,0.7892303467,-0.9671020508,-0.1022796631,0.2712402344,-0.9393615723,-1.292566299,-0.4504811466,-0.3438082337,0.01330781542,0.02562626824,-0.07640715688,-308.1796875,-43.01260376,-117.9642029,-5.962600708,72.68815613,137.8174591
96,94.0,21.08,-0.2734680176,0.8153991699,-0.8852844238,-0.108001709,0.2642822266,-0.9412536621,-1.420588493,-0.3579392433,-0.1924538612,0.02040300891,0.03321228176,-0.09353234619,-307.8708496,-42.68974304,-118.5721893,-5.57585144,72.56460571,137.825531
